"Wed, 02 Nov 2016 07:10:19 +0000",VALID,5,Xiangyu,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 07:10:54 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 07:29:59 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 07:30:47 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 07:31:33 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 07:32:13 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 07:33:46 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 07:36:51 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 07:42:18 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 07:43:30 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 07:45:48 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 07:49:36 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 07:50:10 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 07:50:30 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 07:52:15 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:22:47 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:24:07 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:24:25 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:24:39 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:24:46 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:26:34 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:27:14 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:27:21 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:27:38 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:28:03 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:28:52 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:33:42 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:34:34 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:34:54 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:38:28 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:39:46 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:40:13 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:40:32 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:42:10 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:42:16 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:43:39 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:46:23 +0000",VALID,5,test,test,test@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
"Wed, 02 Nov 2016 08:47:26 +0000",VALID,5,test,test,123213213213@example.com,,,,Newsletter,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
